ID,Radius [kpc],Radius [arcs],Vrot [km/s],eVrot_1 [km/s],eVrot_2 [km/s]
NGC3198,20.387,290,154.005,-3.472,2.912
NGC3198,21.793,310,151.588,-3.044,3.886
NGC3198,23.199,330,151.045,-3.886,4.303
NGC3198,24.605,350,149.943,-4.287,3.901
NGC3198,26.011,370,150.097,-3.021,3.521
NGC3198,27.417,390,149.08,-3.632,3.536
NGC3198,28.823,410,146.282,-3.968,3.858
NGC4062,1.147,14,77.164,-8.429,6.566
NGC4062,3.441,42,119.867,-8.331,6.839
NGC4062,5.735,70,141.784,-6.329,5.838
NGC4062,8.03,98,151.229,-4.656,4.526
NGC4062,10.324,126,155.361,-3.676,4.159
NGC4062,12.618,154,152.635,-6.509,6.235
NGC4062,14.912,182,152.182,-7.262,6.773
NGC4258,0.368,10,99.736,-29.051,29.051
NGC4258,1.105,30,173.44,-38.837,40.969
NGC4258,1.842,50,250.434,-33.772,33.416
NGC4258,2.579,70,253.216,-25.581,29.967
NGC4258,3.316,90,225.968,-8.222,9.859
NGC4258,4.053,110,223.162,-13.195,13.66
NGC4258,4.79,130,214.51,-13.277,12.214
NGC4258,5.527,150,223.151,-7.981,7.166
NGC4258,6.264,170,232.114,-8.2,7.17
NGC4258,7.001,190,218.138,-20.394,15.624
NGC4258,7.738,210,222.914,-20.05,15.291
NGC4258,8.475,230,212.75,-27.027,23.72
NGC4258,9.212,250,202.806,-30.654,26.933
NGC4258,9.949,270,194.559,-28.007,23.541
NGC4258,10.686,290,190.282,-19.369,18.698
NGC4258,11.423,310,190.202,-17.454,14.498
NGC4258,12.159,330,191.182,-14.525,10.964
NGC4258,12.896,350,184.492,-15.002,15.135
NGC4258,13.633,370,180.819,-11.397,12.665
NGC4258,14.37,390,181.129,-7.779,9.814
NGC4258,15.107,410,189.265,-6.558,8.508
NGC4258,15.844,430,199.431,-9.056,8.293
NGC4258,16.581,450,200.496,-9.066,8.976
NGC4258,17.318,470,206.215,-10.479,10.479
NGC4258,18.055,490,212.543,-5.701,4.555
NGC4258,18.792,510,215.111,-6.12,5.744
NGC4258,19.529,530,215.716,-6.798,6.19
NGC4258,20.266,550,213.411,-8.133,7.72
NGC4274,1.317,14,64.884,-17.222,19.842
NGC4274,3.95,42,162.761,-21.234,31.805
NGC4274,6.584,70,221.163,-6.455,6.797
NGC4274,9.218,98,234.75,-6.16,5.251
NGC4274,11.851,126,230.085,-9.637,10.283
NGC4274,14.485,154,228.119,-5.775,5.969
NGC4414,1.208,14,217.714,-15.633,12.877
NGC4414,3.625,42,230.607,-7.86,7.649
NGC4414,6.041,70,224.15,-11.077,14.669
NGC4414,8.457,98,224.449,-7.228,8.565
NGC4414,10.874,126,215.937,-4.667,5.184
NGC4414,13.29,154,205.863,-6.669,5.462
NGC4448,0.658,14,126.571,-20.943,19.367
NGC4448,1.975,42,224.985,-24.007,17.315
NGC4559,0.613,16,64.228,-6.213,6.161
NGC4559,1.838,48,78.233,-5.088,5.73
NGC4559,3.064,80,95.842,-8.071,8.194
NGC4559,4.29,112,98.225,-6.905,8.26
NGC4559,5.515,144,105.558,-4.58,4.601
NGC4559,6.741,176,113.837,-4.564,4.783
NGC4559,7.967,208,114.529,-7.482,7.434
NGC4559,9.192,240,113.701,-4.369,5.427
NGC4559,10.418,272,118.327,-4.259,4.572
NGC4559,11.644,304,121.875,-3.807,3.907
NGC4559,12.869,336,124.571,-4.274,3.868
NGC4559,14.095,368,122.712,-2.628,2.895
NGC4559,15.321,400,120.695,-2.946,3.218
NGC4559,16.546,432,120.746,-3.212,3.267
NGC4559,17.772,464,120.993,-3.52,3.88
NGC5055,0.412,10,132.905,-14.754,15.356
NGC5055,1.236,30,175.639,-5.54,6.185
