ID,Radius [kpc],Radius [arcs],Vrot [km/s],eVrot_1 [km/s],eVrot_2 [km/s],"Vm,t","eVm,t","Vm,r","eVm,r"
NGC5055-Bar,0.33,8,71.42,18.11,18.11,14.26,6.3,9.76,18.29
NGC5055-Bar,0.659,16,110.99,11.83,11.83,3.27,6.63,23.09,7.73
NGC5055-Bar,0.989,24,132.76,15.65,15.65,4.52,19.03,26.29,10.13
NGC5055-Bar,1.319,32,149.88,9.2,9.2,1.58,10.06,24.33,10.89
NGC5055-Bar,1.648,40,156.68,6.96,6.96,5.23,4.85,24.71,7.58
NGC5055-Bar,1.978,48,169.56,2.88,2.88,4.92,2.53,17.32,3.76
NGC5055-Bar,2.308,56,169.07,14.02,14.02,15.99,12.55,24.3,14.44
NGC5055-Bar,2.637,64,192.08,3.87,3.87,0,0,0,0
NGC5055-Bar,2.967,72,191.07,3.08,3.08,0,0,0,0
NGC5055-Bar,3.297,80,189.61,4.15,4.15,0,0,0,0
NGC5055-Bar,3.626,88,188.53,5.68,5.68,0,0,0,0
NGC5055-Bar,3.956,96,189.86,7.18,7.18,0,0,0,0
NGC5055-Bar,4.286,104,192.99,4.12,4.12,0,0,0,0
NGC5055-Bar,4.615,112,196.92,1.17,1.17,0,0,0,0
NGC5055-Bar,4.945,120,199.03,1.76,1.76,0,0,0,0
NGC5055-Bar,5.275,128,200.36,2.89,2.89,0,0,0,0
NGC5055-Bar,5.604,136,200.87,8.69,8.69,0,0,0,0
NGC5055-Bar,5.934,144,201.4,11.32,11.32,0,0,0,0
NGC5055-Bar,6.264,152,202.24,10.74,10.74,0,0,0,0
NGC5055-Bar,6.593,160,203.51,10.35,10.35,0,0,0,0
NGC5055-Bar,6.923,168,204.25,8.94,8.94,0,0,0,0
NGC5055-Bar,7.253,176,205,6.87,6.87,0,0,0,0
NGC5055-Bar,7.582,184,204.59,4.36,4.36,0,0,0,0
NGC5055-Bar,7.912,192,204.35,2.9,2.9,0,0,0,0
NGC5055-Bar,8.242,200,204.04,0.51,0.51,0,0,0,0
NGC5055-Bar,8.571,208,204.04,3.58,3.58,0,0,0,0
NGC5055-Bar,8.901,216,204.29,4.78,4.78,0,0,0,0
NGC5055-Bar,9.231,224,203.53,4.42,4.42,0,0,0,0
NGC5055-Bar,9.561,232,202.63,7.21,7.21,0,0,0,0
NGC5055-Bar,9.89,240,201.99,8.29,8.29,0,0,0,0
NGC5055-Bar,10.22,248,202.42,7.52,7.52,0,0,0,0
NGC5055-Bar,10.55,256,203.19,7.17,7.17,0,0,0,0
NGC5055-Bar,10.879,264,204.19,6.49,6.49,0,0,0,0
NGC5055-Bar,11.209,272,204.33,3.54,3.54,0,0,0,0
NGC5055-Bar,11.539,280,204.07,3.21,3.21,0,0,0,0
NGC5055-Bar,11.868,288,203.98,5.16,5.16,0,0,0,0
NGC5055-Bar,12.198,296,204.13,4.18,4.18,0,0,0,0
NGC5055-Bar,12.528,304,203.63,4.5,4.5,0,0,0,0
NGC5055-Bar,12.857,312,202.42,5.5,5.5,0,0,0,0
NGC5055-Bar,13.187,320,200.04,6.23,6.23,0,0,0,0
NGC5055-Bar,13.517,328,198.03,6.57,6.57,0,0,0,0
NGC5055-Bar,13.846,336,197.28,7.04,7.04,0,0,0,0
NGC5055-Bar,14.176,344,196.58,7.44,7.44,0,0,0,0
NGC5055-Bar,14.506,352,194.98,7.08,7.08,0,0,0,0
NGC5055-Bar,14.835,360,196.57,7.48,7.48,0,0,0,0
NGC5055-Bar,15.165,368,195.15,7.65,7.65,0,0,0,0
NGC5055-Bar,15.495,376,192.7,5.99,5.99,0,0,0,0
NGC5055-Bar,15.824,384,190.29,2.05,2.05,0,0,0,0
NGC5055-Bar,16.154,392,186.25,7.08,7.08,0,0,0,0
NGC5055-Bar,16.484,400,179.8,1.76,1.76,0,0,0,0
NGC5055-Bar,16.813,408,180.48,1.13,1.13,0,0,0,0
NGC5585-Bar,0.337,8,14.52,2.75,2.75,2.68,3.85,4.29,4.59
NGC5585-Bar,0.675,16,33.19,2.33,2.33,6.71,5.34,9.6,1.88
NGC5585-Bar,1.012,24,34.59,0.93,0.93,0,0,0,0
NGC5585-Bar,1.35,32,38.09,0.85,0.85,0,0,0,0
NGC5585-Bar,1.687,40,41.31,0.67,0.67,0,0,0,0
NGC5585-Bar,2.025,48,44.2,0.09,0.09,0,0,0,0
NGC5585-Bar,2.362,56,48.29,1.09,1.09,0,0,0,0
NGC5585-Bar,2.699,64,53.86,1.55,1.55,0,0,0,0
NGC5585-Bar,3.037,72,58.39,1.94,1.94,0,0,0,0
NGC5585-Bar,3.374,80,63.14,0.11,0.11,0,0,0,0
NGC5585-Bar,3.712,88,67.02,1.19,1.19,0,0,0,0
NGC5585-Bar,4.049,96,70.03,0.97,0.97,0,0,0,0
NGC5585-Bar,4.387,104,72.05,0.7,0.7,0,0,0,0
NGC5585-Bar,4.724,112,73.1,0.71,0.71,0,0,0,0
NGC5585-Bar,5.061,120,73.18,0.5,0.5,0,0,0,0
NGC5585-Bar,5.399,128,74.7,0.83,0.83,0,0,0,0
NGC5585-Bar,5.736,136,76.87,1.34,1.34,0,0,0,0
NGC5585-Bar,6.074,144,78.36,1.68,1.68,0,0,0,0
NGC5585-Bar,6.411,152,79.86,2.71,2.71,0,0,0,0
NGC5585-Bar,6.749,160,81.26,1.6,1.6,0,0,0,0
NGC5585-Bar,7.086,168,82.56,0.23,0.23,0,0,0,0
NGC5585-Bar,7.423,176,83.78,2.47,2.47,0,0,0,0
NGC5585-Bar,7.761,184,84.97,3.46,3.46,0,0,0,0
NGC5585-Bar,8.098,192,86.59,3.52,3.52,0,0,0,0
NGC5585-Bar,8.436,200,87.75,3.89,3.89,0,0,0,0
NGC5585-Bar,8.773,208,89.16,2.55,2.55,0,0,0,0
NGC5585-Bar,9.111,216,89.45,0.32,0.32,0,0,0,0
NGC5585-Bar,9.448,224,89.74,3.42,3.42,0,0,0,0
NGC5585-Bar,9.785,232,89.93,3.56,3.56,0,0,0,0
NGC5585-Bar,10.123,240,90,3.11,3.11,0,0,0,0
NGC5585-Bar,10.46,248,89.74,2.99,2.99,0,0,0,0
NGC5585-Bar,10.798,256,89.15,2.22,2.22,0,0,0,0
NGC5585-Bar,11.135,264,88.51,0.87,0.87,0,0,0,0
NGC5585-Bar,11.473,272,87.42,0.32,0.32,0,0,0,0
NGC5585-Bar,11.81,280,86.24,0.27,0.27,0,0,0,0
NGC5585-Bar,12.147,288,85.3,1.42,1.42,0,0,0,0
NGC5585-Bar,12.485,296,83.26,1.49,1.49,0,0,0,0
NGC5585-Bar,12.822,304,81.03,0.3,0.3,0,0,0,0
NGC5585-Bar,13.16,312,79.76,2.39,2.39,0,0,0,0
NGC5585-Bar,13.497,320,78.34,2.66,2.66,0,0,0,0
NGC5585-Bar,13.835,328,76.72,3.08,3.08,0,0,0,0
NGC5585-Bar,14.172,336,72.74,2.32,2.32,0,0,0,0
NGC5585-Bar,14.509,344,71.51,2.3,2.3,0,0,0,0
